,Nome,Partido,Estado
509,Renata Abreu,PODE,São Paulo
510,Ricardo Izar,PP,São Paulo
511,Roberto Alves,PRB,São Paulo
512,Roberto de Lucena,PODE,São Paulo
513,Rodrigo Agostinho,PSB,São Paulo
514,Rosana Valle,PSB,São Paulo
515,Rui Falcão,PT,São Paulo
516,Sâmia Bomfim,PSOL,São Paulo
517,Samuel Moreira,PSDB,São Paulo
518,Tabata Amaral,PDT,São Paulo
519,Tenente Derrite,PP,São Paulo
520,Tiririca,PR,São Paulo
521,Vanderlei Macris,PSDB,São Paulo
522,Vicentinho,PT,São Paulo
523,Vinicius Carvalho,PRB,São Paulo
524,Vinicius Poit,NOVO,São Paulo
525,Vitor Lippi,PSDB,São Paulo
527,Bosco Costa,PR,Sergipe
528,Fábio Henrique,PDT,Sergipe
529,Fábio Mitidieri,PSD,Sergipe
530,Fabio Reis,MDB,Sergipe
531,Gustinho Ribeiro,SD,Sergipe
532,Joao Daniel,PT,Sergipe
533,Laercio Oliveira,PP,Sergipe
534,Valdevan Noventa,PSC,Sergipe
536,Carlos Henrique Gaguim,DEM,Tocantins
537,Celio Moura,PT,Tocantins
538,Dulce Miranda,MDB,Tocantins
539,Eli Borges,SD,Tocantins
540,Osires Damaso,PSC,Tocantins
541,Professora Dorinha,DEM,Tocantins
542,Tiago Dimas,SD,Tocantins
543,Vicentinho Junior,PR,Tocantins
